Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2021,"12        ",Female,17,Right-Handed,"157  ",20,,2,Car,40,0.349,39,Dancing,957,888,604,588,385,866,20,"Same length",60,70,"Ring finger",July,Spring,No,No,Pizza/Pasta,Water,Science,8,9,4,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,Some,"Graduate degree",,,,,
USA,NY,2021,"12        ",Female,18,Right-Handed,158,23,152.4,2,Car,16,0.389,52,Running/Jogging,1000,800,1000,900,500,1000,23,"Same length",74,74,"Same length",October,Summer,Yes,No,Fruit,Coffee,English,7,9,5,"Yes - broadband connection","Cell phone",50,60,12,2,30,25,15,0,4,3,3,5,0,2,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2021,"11        ",Female,15,Right-Handed,170,24,170,2,"Rail (Train/Tram/Subway)",45,0.37,30,Cycling,1000,1000,1000,1000,600,700,24,"Same length",76,75,"Index finger",November,Spring,No,No,Pizza/Pasta,Water,Music,6,7,2,"Yes - other","Text messaging",100,200,15,5,10,2,6,0,10,12,20,10,5,5,"A lot","Graduate degree","Rock and roll",Telepathy,Rich,Relative,"International aid"
USA,NY,2021,"11        ",Female,16,Right-Handed,156,21,143,3,"Rail (Train/Tram/Subway)",50,0.423,34,Walking/Hiking,524,615,652,684,877,979,21,"Same length",65,70,"Ring finger",March,Fall,No,No,Desserts,Water,"Physical education",6,8,8,"Yes - broadband connection","In person",100,100,5,7,25,8,5,0,70,10,100,0,0,10,"A lot","Undergraduate degree",Pop,Telepathy,Rich,Teacher,Health
USA,NY,2021,"12        ",Female,17,Right-Handed,5,7,7,2,Walk,60,.452,30,Gymnastics,802,500,500,1000,1000,1000,7,"Left foot",5.2,5.1,"Index finger",November,Fall,Yes,No,Other,Water,"Mathematics and statistics",6,10,2,"Yes - other","Text messaging",100,200,5,20,5,1,6,5,10,5,35,4,25,4,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,"Coach or club leader",Other
USA,NY,2021,"12        ",Male,16,Right-Handed,177,23,170,2,"Rail (Train/Tram/Subway)",30,0.441,46,Athletics,600,600,700,500,800,1000,23,"Left foot",76,68,"Index finger",December,Winter,No,No,Meat,Water,"Mathematics and statistics",7,8,4,"Yes - broadband connection","Text messaging",132,100,14,9,10,3,3,25,14,12,45,0,0,8,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Business person",Health
USA,NY,2021,"12        ",Male,17,Right-Handed,180,28,184.4,1,Bus,160,.362,55,Swimming,508,273,1000,492,273,765,28,"Same length",85,85,"Same length",November,Spring,Yes,No,Poultry,Milk,History,5,10,4,"Yes - broadband connection","Internet chat or instant messaging",2,1,20,1,0,4,0,20,1,1,20,8,18,1,"Very little","Some college","Rock and roll","Freeze time",Rich,Relative,"Wildlife, animals"
USA,NY,2021,"11        ",Female,17,Right-Handed,168,25,168,1,Car,90,0.362,48,Swimming,500,200,0,0,1000,1000,25,"Same length",76.2,79.3,"Ring finger",July,Summer,No,No,Desserts,Juice,,3,9,3,"Yes - broadband connection","Text messaging",188,247,3,7,7,2,0,1,3,24,15,3,0,3,"A lot","Undergraduate degree",Pop,Telepathy,Happy,Actor,Health
USA,NY,2021,"12        ",Male,17,Right-Handed,178,28,177,2,"Rail (Train/Tram/Subway)",30,.337,40,Swimming,700,600,800,900,700,800,28,"Same length",10,10,"Same length",January,Spring,No,No,"No favorite",Water,"Mathematics and statistics",9,6,4,"Yes - broadband connection","Text messaging",24,41,6,1,1,2,12,1,3,6,10,0,12,3,Some,Other,Pop,Telepathy,Happy,"Sports person",Health
USA,NY,2021,"12        ",Female,16,Left-Handed,167,25,167,2,"Rail (Train/Tram/Subway)",15,0.64,47,Other,900,770,850,850,650,800,25,"Same length",68,70,"Ring finger",December,Fall,No,No,Pizza/Pasta,Water,English,8,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,6,3,1,21,5,3,0,18,1,38,0,0,7,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
